book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,1,1,0,20,8,23,0,0
1,1,1,0,58,1,10,0,0
1,1,1,0,58,11,13,0,0
1,1,1,0,19,8,3,0,0
1,1,1,0,19,33,6,0,0
1,1,1,0,23,40,26,0,0
1,1,1,0,24,5,15,0,0
1,1,1,0,38,12,1,0,0
1,1,1,0,44,14,15,0,0
1,1,1,0,45,1,20,0,0
1,1,1,0,51,1,16,0,0
1,1,2,0,24,4,23,0,0
1,1,2,0,18,26,13,0,0
1,1,2,0,19,104,30,0,0
1,1,3,0,19,33,9,0,0
1,1,3,0,47,4,6,0,0
1,1,5,0,23,45,7,0,0
1,1,7,0,18,37,18,0,0
1,1,7,0,24,10,12,0,0
1,1,7,0,20,8,28,0,0
1,1,7,0,19,148,3,0,0
1,1,9,0,18,38,8,0,0
1,1,9,0,19,104,9,0,0
1,1,9,0,24,5,22,0,0
1,1,9,0,61,3,5,0,0
1,1,14,0,19,136,7,0,0
1,1,14,0,19,104,19,0,0
1,1,16,0,19,138,6,0,0
1,1,16,0,24,31,35,0,0
1,1,26,0,21,7,29,0,0
1,1,26,0,49,4,24,0,0
1,1,26,0,51,3,10,0,0
1,1,26,0,46,11,7,0,0
1,1,29,0,1,9,3,0,0
1,2,2,0,2,20,1,0,0
1,2,2,0,23,58,13,0,0
1,2,2,0,40,12,8,0,0
1,2,2,0,51,2,16,17,0
1,2,2,0,58,4,4,0,0
1,2,2,0,58,4,9,0,0
1,2,7,0,1,3,19,0,0
1,2,7,0,19,103,14,0,0
1,2,7,0,23,64,8,0,0
1,2,7,0,46,15,47,0,0
1,2,7,0,18,33,4,0,0
1,2,7,0,23,2,22,0,0
1,2,7,0,46,15,45,0,0
1,2,9,0,26,31,8,9,0
1,2,9,0,1,3,22,0,0
1,2,9,0,20,3,18,0,0
1,2,9,0,66,2,7,0,0
1,2,11,0,1,25,18,0,0
1,2,14,0,27,10,4,0,0
1,2,17,0,1,3,3,0,0
1,2,17,0,1,3,11,0,0
1,2,18,0,46,11,9,0,0
1,2,18,0,54,2,13,0,0
1,2,19,0,19,8,6,0,0
1,2,21,0,1,15,2,0,0
1,2,23,0,49,5,30,0,0
1,2,24,0,41,10,7,0,0
1,2,24,0,46,6,16,0,0
1,3,1,0,66,12,9,0,0
1,3,1,0,47,11,3,0,0
1,3,3,0,1,2,17,0,0
1,3,4,0,43,8,44,0,0
1,3,4,0,54,2,14,0,0
1,3,7,0,1,2,25,0,0
1,3,10,0,62,3,20,0,0
1,3,12,0,20,28,13,0,0
1,3,14,0,23,65,25,0,0
1,3,14,0,33,7,17,0,0
1,3,15,0,40,13,38,0,0
1,3,15,0,43,8,44,0,0
