translation,book,chapter,verse,text
NIV2011,1,1,26,Probable reading of the original Hebrew text (see Syriac); Masoretic Text <em>the earth</em>
NIV2011,1,2,5,Or <em>land</em>; also in verse 6
NIV2011,1,2,6,Or <em>mist</em>
NIV2011,1,2,7,The Hebrew for <em>man </em>(adam) sounds like and may be related to the Hebrew for <em>ground </em>(adamah); it is also the name <em>Adam </em>(see verse 20).
NIV2011,1,2,12,Or <em>good; pearls</em>
NIV2011,1,2,13,Possibly southeast Mesopotamia
NIV2011,1,2,20,Or <em>the man</em>
NIV2011,1,2,21,Or <em>took part of the man’s side</em>
NIV2011,1,2,22,Or <em>part</em>
NIV2011,1,3,15,Or <em>seed</em>
NIV2011,1,3,15,Or <em>strike</em>
NIV2011,1,3,20,Or <em>The man</em>
NIV2011,1,3,20,<em>Eve </em>probably means <em>living.</em>
NIV2011,1,3,24,Or <em>placed in front</em>
NIV2011,1,4,1,Or <em>The man</em>
NIV2011,1,4,1,<em>Cain </em>sounds like the Hebrew for <em>brought forth </em>or <em>acquired.</em>
NIV2011,1,4,1,Or <em>have acquired</em>
NIV2011,1,4,8,"Samaritan Pentateuch, Septuagint, Vulgate and Syriac; Masoretic Text does not have <em>“Let’s go out to the field.”</em>"
NIV2011,1,4,15,"Septuagint, Vulgate and Syriac; Hebrew <em>Very well</em>"
NIV2011,1,4,16,<em>Nod </em>means <em>wandering </em>(see verses <a href='/NIV2011/1/4/12'>12</a> and <a href='/NIV2011/1/4/14'>14</a>).
NIV2011,1,4,22,Or <em>who instructed all who work in</em>
NIV2011,1,4,25,<em>Seth </em>probably means <em>granted</em><em>.</em>
NIV2011,1,4,26,Or <em>to proclaim</em>
NIV2011,1,5,2,Hebrew <em>adam</em>
NIV2011,1,5,6,<em>Father </em>may mean <em>ancestor</em>; also in verses 7-26.
NIV2011,1,5,29,<em>Noah </em>sounds like the Hebrew for <em>comfort</em><em>.</em>
NIV2011,1,6,3,Or <em>My spirit will not remain in</em>
NIV2011,1,6,3,Or <em>corrupt</em>
NIV2011,1,6,14,The meaning of the Hebrew for this word is uncertain.
NIV2011,1,6,15,"That is, about 450 feet long, 75 feet wide and 45 feet high or about 135 meters long, 23 meters wide and 14 meters high"
NIV2011,1,6,16,"That is, about 18 inches or about 45 centimeters"
NIV2011,1,6,16,The meaning of the Hebrew for this clause is uncertain.
NIV2011,1,7,20,"That is, about 23 feet or about 6.8 meters"
NIV2011,1,7,20,"Or <em>rose more than fifteen cubits, and the mountains were covered</em>"
NIV2011,1,8,21,"Or <em>humans, for</em>"
NIV2011,1,9,20,"Or <em>soil, was the first</em>"
NIV2011,1,9,27,<em>Japheth </em>sounds like the Hebrew for <em>extend</em><em>.</em>
NIV2011,1,10,2,"<em>Sons </em>may mean <em>descendants </em>or <em>successors </em>or <em>nations</em>; also in verses 3, 4, 6, 7, 20-23, 29 and 31."
NIV2011,1,10,4,Some manuscripts of the Masoretic Text and Samaritan Pentateuch (see also Septuagint and <a href='/NIV2011/13/1/7'>1 Chron. 1:7</a>); most manuscripts of the Masoretic Text <em>Dodanites</em>
NIV2011,1,10,8,"<em>Father </em>may mean <em>ancestor </em>or <em>predecessor </em>or <em>founder; </em>also in verses 13, 15, 24 and 26."
NIV2011,1,10,10,Or <em>Uruk and Akkad—all of them in</em>
NIV2011,1,10,10,"That is, Babylonia"
NIV2011,1,10,11,Or <em>Nineveh with its city squares</em>
