book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,1,1,0,19,102,25,0,0
1,1,1,0,23,40,21,0,0
1,1,1,0,43,1,1,2,0
1,1,1,0,19,89,11,0,0
1,1,1,0,19,90,2,0,0
1,1,1,0,44,17,24,0,0
1,1,1,0,23,42,5,0,0
1,1,1,0,23,45,18,0,0
1,1,2,0,24,4,23,0,0
1,1,2,0,18,38,9,0,0
1,1,2,0,19,104,30,0,0
1,1,2,0,5,32,11,0,0
1,1,2,0,23,31,5,0,0
1,1,3,0,19,33,6,0,0
1,1,3,0,19,33,9,0,0
1,1,3,0,47,4,6,0,0
1,1,4,0,19,145,9,10,0
1,1,4,0,23,45,7,0,0
1,1,5,0,19,74,16,0,0
1,1,5,0,19,65,8,0,0
1,1,6,0,23,40,22,0,0
1,1,7,0,18,38,8,11,0
1,1,7,0,19,148,4,0,0
1,1,9,0,19,104,6,9,0
1,1,9,0,24,5,22,0,0
1,1,9,0,61,3,5,0,0
1,1,9,0,19,24,1,2,0
1,1,9,0,19,95,5,0,0
1,1,10,0,19,33,7,0,0
1,1,10,0,19,146,6,0,0
1,1,11,0,19,65,9,13,0
1,1,11,0,19,104,14,0,0
1,1,14,0,19,74,16,0,0
1,1,14,0,19,136,7,0,0
1,1,14,0,19,19,1,0,0
1,1,14,0,19,150,1,0,0
1,1,14,0,24,10,2,0,0
1,1,14,0,19,104,19,0,0
1,1,16,0,19,136,8,9,0
1,1,16,0,18,38,7,0,0
1,1,16,0,19,8,3,0,0
1,1,16,0,23,40,26,0,0
1,1,17,0,24,33,20,0,0
1,1,17,0,24,33,25,0,0
1,1,21,0,19,104,25,28,0
1,1,24,0,1,2,19,0,0
1,1,25,0,1,7,21,22,0
1,1,25,0,24,27,5,0,0
1,1,26,0,1,3,22,0,0
1,1,26,0,1,11,7,0,0
1,1,26,0,1,19,24,0,0
1,1,26,0,1,5,1,0,0
1,1,26,0,1,9,6,0,0
1,1,26,0,19,8,6,8,0
1,1,27,0,46,11,7,0,0
1,1,27,0,40,19,4,0,0
1,1,27,0,41,10,6,0,0
1,1,28,0,1,9,1,0,0
1,1,28,0,1,9,7,0,0
1,1,28,0,19,127,3,0,0
1,1,28,0,19,127,5,0,0
1,1,29,0,19,104,14,0,0
1,1,29,0,19,136,25,0,0
1,1,30,0,19,145,15,0,0
1,1,31,0,19,104,24,0,0
1,1,31,0,19,104,28,0,0
1,1,31,0,19,119,68,0,0
1,2,1,0,5,4,19,0,0
1,2,1,0,5,17,3,0,0
1,2,2,0,2,20,8,11,0
1,2,2,0,58,4,4,0,0
1,2,4,0,18,38,4,11,0
1,2,4,0,1,1,3,31,0
1,2,5,0,1,1,11,0,0
1,2,5,0,24,10,12,13,0
1,2,7,0,1,3,19,0,0
1,2,7,0,46,15,45,0,0
1,2,8,0,1,13,10,0,0
1,2,8,0,23,51,3,0,0
1,2,8,0,26,28,13,0,0
1,2,9,0,26,47,12,0,0
1,2,9,0,1,3,22,0,0
1,2,9,0,66,2,7,0,0
1,2,9,0,66,22,2,0,0
1,2,9,0,66,22,14,0,0
1,2,14,0,27,10,4,0,0
1,2,14,0,1,15,18,0,0
1,2,16,0,1,3,2,3,0
1,2,17,0,5,30,15,0,0
1,2,17,0,5,30,19,20,0
1,2,17,0,45,6,23,0,0
1,2,17,0,54,5,1,0,0
1,2,17,0,54,5,6,0,0
1,2,17,0,59,1,15,0,0
1,2,18,0,46,11,9,0,0
1,2,19,0,1,1,24,0,0
1,2,19,0,1,1,26,0,0
1,2,20,0,1,2,18,0,0
1,2,22,0,46,11,8,9,0
1,2,23,0,49,5,28,29,0
1,2,24,0,40,19,5,0,0
1,2,24,0,41,10,7,8,0
1,2,24,0,46,6,16,0,0
1,2,24,0,49,5,31,0,0
1,2,25,0,1,3,7,0,0
1,2,25,0,1,3,10,11,0
1,3,1,0,47,11,3,0,0
1,3,1,0,66,12,9,0,0
1,3,1,0,66,20,2,0,0
1,3,2,0,1,2,16,17,0
1,3,4,0,43,8,44,0,0
1,3,5,0,23,14,14,0,0
1,3,5,0,26,28,2,0,0
1,3,5,0,26,28,12,17,0
1,3,6,0,54,2,14,0,0
1,3,6,0,59,1,14,15,0
1,3,6,0,62,2,16,0,0
1,3,7,0,23,47,3,0,0
1,3,7,0,25,1,8,0,0
1,3,8,0,1,18,33,0,0
1,3,8,0,3,26,12,0,0
1,3,8,0,5,23,14,0,0
1,3,8,0,28,10,8,0,0
1,3,8,0,66,6,15,17,0
1,3,9,0,1,4,9,0,0
1,3,9,0,1,18,9,0,0
1,3,10,0,2,20,18,19,0
1,3,10,0,5,5,25,0,0
1,3,12,0,18,31,33,0,0
1,3,12,0,20,28,13,0,0
1,3,13,0,47,11,3,0,0
1,3,13,0,54,2,14,0,0
1,3,14,0,5,28,15,0,0
1,3,14,0,5,28,20,0,0
1,3,14,0,23,65,25,0,0
1,3,14,0,33,7,17,0,0
1,3,15,0,45,16,20,0,0
1,3,16,0,54,2,15,0,0
1,3,16,0,46,14,34,0,0
1,3,17,0,1,5,29,0,0
1,3,17,0,45,8,20,22,0
1,3,17,0,18,5,7,0,0
1,3,17,0,18,14,1,0,0
1,3,19,0,19,90,3,0,0
1,3,19,0,19,104,29,0,0
1,3,19,0,21,12,7,0,0
1,3,19,0,1,2,7,0,0
1,3,20,0,47,11,3,0,0
1,3,20,0,54,2,13,0,0
1,3,22,0,1,1,26,0,0
1,3,22,0,1,2,9,0,0
1,3,24,0,26,31,11,0,0
1,3,24,0,2,25,18,22,0
1,3,24,0,26,10,1,20,0
1,3,24,0,1,2,9,0,0
1,4,2,0,42,11,50,51,0
1,4,2,0,1,46,32,0,0
1,4,2,0,1,47,3,0,0
1,4,4,0,58,11,4,0,0
1,4,4,0,9,15,22,0,0
1,4,5,0,4,16,15,0,0
1,4,5,0,9,16,7,0,0
1,4,5,0,23,3,9,0,0
1,4,5,0,65,1,11,0,0
1,4,6,0,32,4,4,0,0
1,4,7,0,24,3,12,0,0
1,4,7,0,33,7,18,0,0
1,4,7,0,4,32,23,0,0
1,4,7,0,18,11,14,15,0
1,4,7,0,45,6,12,0,0
1,4,7,0,45,6,16,0,0
1,4,8,0,40,23,35,0,0
1,4,8,0,62,3,12,0,0
1,4,9,0,1,3,9,0,0
1,4,10,0,4,35,33,0,0
1,4,10,0,5,21,1,9,0
1,4,10,0,58,12,24,0,0
1,4,10,0,66,6,9,10,0
1,4,11,0,1,3,14,0,0
1,4,12,0,5,28,15,24,0
1,4,12,0,29,1,10,20,0
1,4,12,0,3,26,17,0,0
1,4,12,0,3,26,36,0,0
1,4,14,0,1,3,24,0,0
1,4,14,0,24,52,3,0,0
1,4,14,0,5,28,64,67,0
1,4,14,0,4,35,19,0,0
1,4,15,0,45,2,4,0,0
1,4,15,0,1,4,24,0,0
1,4,19,0,1,2,24,0,0
1,4,23,0,2,20,13,0,0
1,4,23,0,3,19,18,0,0
1,4,23,0,5,32,35,0,0
1,4,23,0,19,94,1,0,0
1,4,24,0,1,4,15,0,0
1,4,25,0,1,5,3,0,0
1,4,25,0,1,4,8,0,0
1,4,26,0,42,3,38,0,0
1,4,26,0,1,12,8,0,0
1,4,26,0,1,26,25,0,0
1,5,1,0,1,1,27,0,0
1,5,2,0,41,10,6,0,0
1,5,2,0,1,1,28,0,0
1,5,22,0,1,6,9,0,0
1,5,22,0,1,17,1,0,0
1,5,22,0,1,24,40,0,0
1,5,22,0,1,48,15,0,0
1,5,24,0,12,2,10,0,0
1,5,24,0,19,49,15,0,0
1,5,24,0,19,73,24,0,0
1,5,24,0,58,11,5,0,0
1,5,29,0,1,3,17,19,0
1,5,32,0,1,7,6,0,0
1,6,3,0,60,3,20,0,0
1,6,5,0,1,8,21,0,0
1,6,5,0,19,14,1,3,0
1,6,6,0,24,18,7,10,0
1,6,7,0,5,28,63,0,0
1,6,7,0,5,29,20,0,0
1,6,7,0,30,7,3,0,0
1,6,7,0,30,7,6,0,0
1,6,8,0,2,33,17,0,0
1,6,9,0,19,37,39,0,0
1,6,9,0,1,17,1,0,0
1,6,9,0,5,18,13,0,0
1,6,9,0,18,1,1,0,0
1,6,9,0,1,5,24,0,0
1,6,11,0,5,31,29,0,0
1,6,11,0,7,2,19,0,0
1,6,11,0,26,8,17,0,0
1,6,12,0,19,14,1,3,0
1,6,13,0,23,34,1,4,0
1,6,13,0,26,7,2,3,0
1,6,18,0,1,9,9,16,0
1,6,18,0,1,17,7,0,0
