book_number,chapter_number_from,verse_number_from,chapter_number_to,verse_number_to,marker,text
5,32,44,0,0,[1],ou Josué.
40,5,15,0,0,[1],Medida de 8 1/2 litros.
40,10,29,0,0,[2],Moeda que valia cerca de 30 réis.
40,13,33,0,0,[3],"Saton, medida de 13 litros."
40,17,20,0,0,[4],Alguns manuscritos inserem o v. <a href='B:470 17:21'>21</a>: Mas esta casta de demônios não se expele senão à força de oração e de jejum.
40,17,24,0,0,[5],"Uma dracma valia 315 réis, moeda brasileira."
40,17,27,0,0,[6],Moeda que valia 4 dracmas.
40,18,10,0,0,[7],Alguns manuscritos inserem o v. <a href='B:470 18:11'>11</a>: Porque o Filho do homem veio salvar o que havia perecido.
40,18,24,0,0,[8],Um talento valia 1:890 $ moeda brasileira.
40,19,9,0,0,[9],"Alguns manuscritos inserem: e o que se casar com a repudiada, comete adultério."
40,23,13,0,0,[10],"Alguns manuscritos inserem o v. <a href='B:470 23:14'>14</a>: Ai de vós, escribas e fariseus hipócritas! porque devorais as casas das viúvas sob pretextos de longas orações; por isso recebereis maior condenação."
40,27,27,0,0,[11],"A décima parte duma legião, ou 600 soldados."
40,27,35,0,0,[12],"Alguns manuscritos inserem: para que se cumprisse o que foi dito pelo profeta: Repartiram entre si as minhas vestes, e sobre a minha túnica deitaram sortes."
41,2,26,0,0,[1],Gr. de apresentação.
41,4,21,0,0,[2],Medida de 8 1/2 litros.
41,7,15,0,0,[3],"Muitas antigas autoridades inserem v. <a href='B:480 7:16'>16</a>: Se alguém tem ouvidos para ouvir, ouça."
41,9,43,0,0,[4],"onde o seu verme não morre, e o fogo não se apaga."
41,11,25,0,0,[5],"Alguns manuscritos inserem v. <a href='B:480 11:26'>26</a>: Mas se vós não perdoardes, também vosso Pai que está nos céus, vos não perdoará as vossas ofensas."
41,12,15,0,0,[6],"Um denário valia 315 réis, moeda brasileira."
41,12,42,0,0,[7],"Um quadrante valia 7 réis, moeda brasileira."
41,14,51,0,0,[8],Gr. sobre o corpo nu.
41,15,27,0,0,[9],Alguns manuscritos inserem v. <a href='B:480 15:28'>28</a>: E cumpriu-se a Escritura que diz: E com os malfeitores foi contado. <a href='B:290 53:12'>Is 53.12</a>; <a href='B:490 22:37'>Lc 22.37</a>.
42,7,41,0,0,[1],"Um denário valia 315 réis, moeda brasileira."
42,12,6,0,0,[2],"Um asse valia cerca de 30 réis, moeda brasileira."
42,15,8,0,0,[3],"Uma dracma valia 315 réis, moeda brasileira."
42,17,35,0,0,[4],"Alguns manuscritos inserem v. <a href='B:490 17:36'>36</a>: dois homens estarão no campo, um será tomado e o outro deixado."
42,20,24,0,0,[5],"Um denário valia 315 réis, moeda brasileira."
42,21,2,0,0,[6],"Um lepto valia 14 réis, moeda brasileira."
42,23,16,0,0,[7],Alguns manuscritos inserem v. <a href='B:490 23:17'>17</a>: E era-lhe necessário soltar-lhes um pela festa.
42,24,13,0,0,[8],"Estádio, medida itinerária de 185 metros."
42,24,42,0,0,[9],Alguns manuscritos inserem: e um favo de mel.
43,2,6,0,0,[1],Medida da capacidade de 30 litros.
43,5,4,0,0,[2],Alguns manuscritos omitem.
43,6,7,0,0,[3],"Um denário valia 315 réis, moeda brasileira."
43,6,19,0,0,[4],"Estádio, medida itinerária de 185 metros."
43,7,35,0,0,[5],Chama-se a Dispersão os judeus que moravam no estrangeiro.
43,7,53,0,0,[6],A maior parte dos manuscritos omitem os capítulos 7.53 e <a href='B:500 8:1-11'>8.1–11</a>.
43,11,18,0,0,[7],"Estádio, medida itinerária de 185 metros."
43,12,5,0,0,[8],"Um denário valia 315 réis, moeda brasileira."
43,14,16,0,0,[9],"ou. Consolador, ou, Advogado, ou, Defensor."
43,18,12,0,0,[10],Comandante de mil soldados.
43,18,28,0,0,[11],"ou, palácio."
43,18,33,0,0,[12],"ou, palácio."
43,19,9,0,0,[13],"ou, palácio."
43,21,8,0,0,[14],"Cúbito, medida que tinha 50 centímetros."
44,3,1,0,0,[1],3 horas da tarde.
44,4,36,0,0,[2],"ou, consolação."
44,8,36,0,0,[3],"Alguns manuscritos inserem o v. <a href='B:510 8:37'>37</a>: E disse Filipe: É lícito, se crês de todo o coração. E, respondendo ele, disse: Creio que Jesus é o Filho de Deus."
44,15,33,0,0,[4],Alguns manuscritos inserem o v. <a href='B:510 15:34'>34</a>: Mas pareceu bem a Silas ficar ali.
44,19,2,0,0,[5],"ou, que há Espírito Santo."
44,19,19,0,0,[6],"Uma dracma valia 315 réis, moeda brasileira."
44,24,6,0,0,[7],Alguns manuscritos inserem: conforme a nossa Lei o quisemos julgar.
44,27,9,0,0,[8],Observado no mês de setembro.
44,28,16,0,0,[9],"Alguns manuscritos inserem: O centurião entregou os presos ao general do exército, porém."
44,28,28,0,0,[10],"Alguns manuscritos inserem v. <a href='B:510 28:29'>29</a>: E havendo ele dito isto, partiram os judeus, tendo entre si grande contenda."
45,16,23,0,0,[1],Alguns manuscritos inserem v. <a href='B:520 16:24'>24</a>: A graça de nosso Senhor Jesus Cristo seja com todos vós. Amém.
66,6,6,0,0,[1],Medida de um litro.
